NAME,county_fips,state_usps,CBSAFP
"Adrian, MI",091,MI,10300
"Akron, OH",133,OH,10420
"Akron, OH",153,OH,10420
"Albany-Schenectady-Troy, NY",001,NY,10580
"Albany-Schenectady-Troy, NY",083,NY,10580
"Albany-Schenectady-Troy, NY",091,NY,10580
"Albany-Schenectady-Troy, NY",093,NY,10580
"Albany-Schenectady-Troy, NY",095,NY,10580
"Albert Lea, MN",047,MN,10660
"Alexandria, MN",041,MN,10820
"Allentown-Bethlehem-Easton, PA-NJ",041,NJ,10900
"Allentown-Bethlehem-Easton, PA-NJ",025,PA,10900
"Allentown-Bethlehem-Easton, PA-NJ",077,PA,10900
"Allentown-Bethlehem-Easton, PA-NJ",095,PA,10900
"Alma, MI",057,MI,10940
"Alpena, MI",007,MI,10980
"Altoona, PA",013,PA,11020
"Amsterdam, NY",057,NY,11220
"Angola, IN",151,IN,11420
"Ann Arbor, MI",161,MI,11460
"Appleton, WI",015,WI,11540
"Appleton, WI",087,WI,11540
"Ashland, OH",005,OH,11740
"Athens, OH",009,OH,11900
"Auburn, IN",033,IN,12140
"Auburn, NY",011,NY,12180
"Augusta-Waterville, ME",011,ME,12300
"Austin, MN",099,MN,12380
"Bangor, ME",019,ME,12620
"Baraboo, WI",111,WI,12660
"Barre, VT",023,VT,12740
"Batavia, NY",037,NY,12860
"Battle Creek, MI",025,MI,12980
"Bay City, MI",017,MI,13020
"Beaver Dam, WI",027,WI,13180
"Bedford, IN",093,IN,13260
"Bellefontaine, OH",091,OH,13340
"Bemidji, MN",007,MN,13420
"Bennington, VT",003,VT,13540
"Big Rapids, MI",107,MI,13660
"Binghamton, NY",007,NY,13780
"Binghamton, NY",107,NY,13780
"Bismarck, ND",015,ND,13900
"Bismarck, ND",059,ND,13900
"Bismarck, ND",065,ND,13900
"Bloomington, IL",113,IL,14010
"Bloomington, IN",105,IN,14020
"Bloomington, IN",119,IN,14020
"Bloomsburg-Berwick, PA",037,PA,14100
"Bradford, PA",083,PA,14620
"Brainerd, MN",021,MN,14660
"Brainerd, MN",035,MN,14660
"Buffalo-Cheektowaga, NY",029,NY,15380
"Buffalo-Cheektowaga, NY",063,NY,15380
"Burlington, IA-IL",071,IL,15460
"Burlington, IA-IL",057,IA,15460
"Burlington-South Burlington, VT",007,VT,15540
"Burlington-South Burlington, VT",011,VT,15540
"Burlington-South Burlington, VT",013,VT,15540
"Cadillac, MI",113,MI,15620
"Cadillac, MI",165,MI,15620
"Cambridge, OH",059,OH,15740
"Canton-Massillon, OH",019,OH,15940
"Canton-Massillon, OH",151,OH,15940
