NAME,NAMELSAD,CBSAFP,LSAD
"Auburn, IN","Auburn, IN Micro Area",12140,M2
"Auburn, NY","Auburn, NY Micro Area",12180,M2
"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",12300,M2
"Austin, MN","Austin, MN Micro Area",12380,M2
"Bangor, ME","Bangor, ME Metro Area",12620,M1
"Baraboo, WI","Baraboo, WI Micro Area",12660,M2
"Barre, VT","Barre, VT Micro Area",12740,M2
"Batavia, NY","Batavia, NY Micro Area",12860,M2
"Battle Creek, MI","Battle Creek, MI Metro Area",12980,M1
"Bay City, MI","Bay City, MI Metro Area",13020,M1
"Beaver Dam, WI","Beaver Dam, WI Micro Area",13180,M2
"Bedford, IN","Bedford, IN Micro Area",13260,M2
"Bellefontaine, OH","Bellefontaine, OH Micro Area",13340,M2
"Bemidji, MN","Bemidji, MN Micro Area",13420,M2
"Bennington, VT","Bennington, VT Micro Area",13540,M2
"Berlin, NH","Berlin, NH Micro Area",13620,M2
"Big Rapids, MI","Big Rapids, MI Micro Area",13660,M2
"Binghamton, NY","Binghamton, NY Metro Area",13780,M1
"Bismarck, ND","Bismarck, ND Metro Area",13900,M1
"Bloomington, IL","Bloomington, IL Metro Area",14010,M1
"Bloomington, IN","Bloomington, IN Metro Area",14020,M1
"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA Metro Area",14100,M1
"Bradford, PA","Bradford, PA Micro Area",14620,M2
"Brainerd, MN","Brainerd, MN Micro Area",14660,M2
"Bucyrus-Galion, OH","Bucyrus-Galion, OH Micro Area",15340,M2
"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga, NY Metro Area",15380,M1
"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN Metro Area",17140,M1
"Cleveland-Elyria, OH","Cleveland-Elyria, OH Metro Area",17460,M1
"Coldwater, MI","Coldwater, MI Micro Area",17740,M2
"Columbus, IN","Columbus, IN Metro Area",18020,M1
"Columbus, OH","Columbus, OH Metro Area",18140,M1
"Concord, NH","Concord, NH Micro Area",18180,M2
"Connersville, IN","Connersville, IN Micro Area",18220,M2
"Corning, NY","Corning, NY Micro Area",18500,M2
"Cortland, NY","Cortland, NY Micro Area",18660,M2
"Coshocton, OH","Coshocton, OH Micro Area",18740,M2
"Crawfordsville, IN","Crawfordsville, IN Micro Area",18820,M2
"Fergus Falls, MN","Fergus Falls, MN Micro Area",22260,M2
"Findlay, OH","Findlay, OH Micro Area",22300,M2
"Flint, MI","Flint, MI Metro Area",22420,M1
"Fond du Lac, WI","Fond du Lac, WI Metro Area",22540,M1
"Fort Madison-Keokuk, IA-IL-MO","Fort Madison-Keokuk, IA-IL-MO Micro Area",22800,M2
"Fort Wayne, IN","Fort Wayne, IN Metro Area",23060,M1
"Frankfort, IN","Frankfort, IN Micro Area",23140,M2
"Freeport, IL","Freeport, IL Micro Area",23300,M2
"Fremont, OH","Fremont, OH Micro Area",23380,M2
"Galesburg, IL","Galesburg, IL Micro Area",23660,M2
"Gettysburg, PA","Gettysburg, PA Metro Area",23900,M1
"Danville, IL","Danville, IL Metro Area",19180,M1
"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL Metro Area",19340,M1
"Dayton-Kettering, OH","Dayton-Kettering, OH Metro Area",19430,M1
"Decatur, IL","Decatur, IL Metro Area",19500,M1
"Decatur, IN","Decatur, IN Micro Area",19540,M2
"Defiance, OH","Defiance, OH Micro Area",19580,M2
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI Metro Area",19820,M1
"Dickinson, ND","Dickinson, ND Micro Area",19860,M2
"Dixon, IL","Dixon, IL Micro Area",19940,M2
"DuBois, PA","DuBois, PA Micro Area",20180,M2
"Duluth, MN-WI","Duluth, MN-WI Metro Area",20260,M1
"East Stroudsburg, PA","East Stroudsburg, PA Metro Area",20700,M1
"Eau Claire, WI","Eau Claire, WI Metro Area",20740,M1
"Effingham, IL","Effingham, IL Micro Area",20820,M2
"Elkhart-Goshen, IN","Elkhart-Goshen, IN Metro Area",21140,M1
"Elmira, NY","Elmira, NY Metro Area",21300,M1
"Erie, PA","Erie, PA Metro Area",21500,M1
"Escanaba, MI","Escanaba, MI Micro Area",21540,M2
"Evansville, IN-KY","Evansville, IN-KY Metro Area",21780,M1
"Fairmont, MN","Fairmont, MN Micro Area",21860,M2
"Fargo, ND-MN","Fargo, ND-MN Metro Area",22020,M1
"Faribault-Northfield, MN","Faribault-Northfield, MN Micro Area",22060,M2
"Burlington, IA-IL","Burlington, IA-IL Micro Area",15460,M2
"Burlington-South Burlington, VT","Burlington-South Burlington, VT Metro Area",15540,M1
"Cadillac, MI","Cadillac, MI Micro Area",15620,M2
"Cambridge, OH","Cambridge, OH Micro Area",15740,M2
"Canton-Massillon, OH","Canton-Massillon, OH Metro Area",15940,M1
"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL Metro Area",16020,M1
"Carbondale-Marion, IL","Carbondale-Marion, IL Metro Area",16060,M1
"Celina, OH","Celina, OH Micro Area",16380,M2
"Centralia, IL","Centralia, IL Micro Area",16460,M2
"Chambersburg-Waynesboro, PA","Chambersburg-Waynesboro, PA Metro Area",16540,M1
"Champaign-Urbana, IL","Champaign-Urbana, IL Metro Area",16580,M1
"Charleston-Mattoon, IL","Charleston-Mattoon, IL Micro Area",16660,M2
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",16980,M1
"Chillicothe, OH","Chillicothe, OH Micro Area",17060,M2
"Adrian, MI","Adrian, MI Micro Area",10300,M2
"Akron, OH","Akron, OH Metro Area",10420,M1
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",10580,M1
"Albert Lea, MN","Albert Lea, MN Micro Area",10660,M2
"Alexandria, MN","Alexandria, MN Micro Area",10820,M2
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,M1
"Alma, MI","Alma, MI Micro Area",10940,M2
"Alpena, MI","Alpena, MI Micro Area",10980,M2
"Altoona, PA","Altoona, PA Metro Area",11020,M1
"Amsterdam, NY","Amsterdam, NY Micro Area",11220,M2
"Angola, IN","Angola, IN Micro Area",11420,M2
"Ann Arbor, MI","Ann Arbor, MI Metro Area",11460,M1
"Appleton, WI","Appleton, WI Metro Area",11540,M1
"Ashland, OH","Ashland, OH Micro Area",11740,M2
"Ashtabula, OH","Ashtabula, OH Micro Area",11780,M2
"Athens, OH","Athens, OH Micro Area",11900,M2
"Wooster, OH","Wooster, OH Micro Area",49300,M2
"Worcester, MA-CT","Worcester, MA-CT Metro Area",49340,M1
"Worthington, MN","Worthington, MN Micro Area",49380,M2
