County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
1001,"Autauga County, Alabama",C3386,"Montgomery, AL MSA",,
1003,"Baldwin County, Alabama",C1930,"Daphne-Fairhope-Foley, AL MSA",CS380,"Mobile-Daphne-Fairhope, AL CSA"
1007,"Bibb County, Alabama",C1382,"Birmingham-Hoover, AL MSA",CS142,"Birmingham-Hoover-Talladega, AL CSA"
1009,"Blount County, Alabama",C1382,"Birmingham-Hoover, AL MSA",CS142,"Birmingham-Hoover-Talladega, AL CSA"
1015,"Calhoun County, Alabama",C1150,"Anniston-Oxford-Jacksonville, AL MSA",,
1017,"Chambers County, Alabama",C4674,"Valley, AL MicroSA",CS194,"Columbus-Auburn-Opelika, GA-AL CSA"
1021,"Chilton County, Alabama",C1382,"Birmingham-Hoover, AL MSA",CS142,"Birmingham-Hoover-Talladega, AL CSA"
1031,"Coffee County, Alabama",C2146,"Enterprise, AL MicroSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
1033,"Colbert County, Alabama",C2252,"Florence-Muscle Shoals, AL MSA",,
1037,"Coosa County, Alabama",C4518,"Talladega-Sylacauga, AL MicroSA",CS142,"Birmingham-Hoover-Talladega, AL CSA"
1043,"Cullman County, Alabama",C1898,"Cullman, AL MicroSA",CS142,"Birmingham-Hoover-Talladega, AL CSA"
1045,"Dale County, Alabama",C3712,"Ozark, AL MicroSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
1047,"Dallas County, Alabama",C4282,"Selma, AL MicroSA",,
1051,"Elmore County, Alabama",C3386,"Montgomery, AL MSA",,
1055,"Etowah County, Alabama",C2346,"Gadsden, AL MSA",,
1061,"Geneva County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
1065,"Hale County, Alabama",C4622,"Tuscaloosa, AL MSA",,
1067,"Henry County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
1069,"Houston County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
